"Survey_number","Date","date_ymd","survey_send","survey_begin","survey_end","ranking_time_people","support_felt","run_description","community_inclusion","how_energising","slowed_spedup_natural","enjoyment","fatigued","pain_of_fatigue","exertion","just_before","came_with","time","totalruns","gender","age","Athlete_ID"
1,"30/01/2016","2016-01-30","9:45:00","2016-01-30 09:59:45","2016-01-30 10:05:32",2,6,2,7,5,3,2,6,1,10,1,1,40.41,28,"W",7,"DGK0SRD"
2,"30/01/2016","2016-01-30","9:45:00","2016-01-30 10:25:44","2016-01-30 10:27:53",2,5,1,5,5,4,5,5,2,8,1,2,26.66,32,"M",8,"L5HBYDL"
3,"30/01/2016","2016-01-30","9:45:00","2016-01-30 10:30:49","2016-01-30 10:34:54",2,7,1,7,5,4,6,2,NA,8,2,3,24.28,98,"M",2,"3A7AJQ8"
4,"30/01/2016","2016-01-30","9:45:00","2016-01-30 10:56:10","2016-01-30 11:01:05",2,6,1,6,5,4,6,5,5,9,1,1,23.48,15,"M",3,"BRDGXZA"
5,"30/01/2016","2016-01-30","9:45:00","2016-01-30 11:33:04","2016-01-30 11:37:19",3,5,3,7,6,4,6,6,4,10,2,1,22.18,86,"M",9,"JIB4CP3"
6,"30/01/2016","2016-01-30","9:45:00","2016-01-30 11:58:04","2016-01-30 12:01:08",3,5,3,4,5,2,6,6,6,14,2,3,32.33,2,"W",4,"1MX6ZBW"
7,"30/01/2016","2016-01-30","9:45:00","2016-01-30 12:14:06","2016-01-30 12:17:34",3,5,1,5,6,4,5,6,6,14,1,4,20.31,38,"M",8,"4GAMTFR"
8,"30/01/2016","2016-01-30","9:45:00","2016-01-30 13:02:32","2016-01-30 13:05:23",3,7,2,7,7,3,7,4,NA,9,2,2,33.66,140,"W",11,"V4Y6VCO"
9,"30/01/2016","2016-01-30","9:45:00","2016-01-30 13:24:33","2016-01-30 13:28:03",3,5,1,4,4,4,6,2,NA,6,2,1,22.05,231,"M",6,"75FJWI3"
10,"30/01/2016","2016-01-30","9:45:00","2016-01-30 14:21:27","2016-01-30 14:25:58",2,7,1,6,7,4,7,4,NA,10,2,2,26.53,45,"W",9,"LMY75FN"
11,"30/01/2016","2016-01-30","9:45:00","2016-01-30 16:48:55","2016-01-30 16:53:17",3,5,2,6,6,4,6,6,4,12,1,1,21.55,87,"M",11,"58NAII0"
12,"30/01/2016","2016-01-30","9:45:00","2016-01-30 19:27:12","2016-01-30 19:30:42",3,5,1,6,7,4,4,5,1,9,2,3,28.65,147,"W",9,"9G5J3BV"
13,"30/01/2016","2016-01-30","9:45:00","2016-01-30 20:33:51","2016-01-30 20:38:03",2,5,1,6,6,4,4,6,6,10,2,2,28.61,62,"M",8,"86ZOE78"
14,"30/01/2016","2016-01-30","9:45:00","2016-01-31 11:17:39","2016-01-31 11:20:48",3,5,3,1,1,1,6,2,NA,2,1,3,32.33,2,"M",5,"B84FA2V"
15,"30/01/2016","2016-01-30","9:45:00","2016-01-31 12:17:25","2016-01-31 12:20:00",2,6,1,5,5,4,6,3,NA,8,3,1,29.43,94,"M",10,"P30MM7M"
16,"30/01/2016","2016-01-30","9:45:00","2016-02-01 13:11:59","2016-02-01 13:17:37",2,4,1,5,5,4,5,5,4,12,1,1,20.7,1,"M",3,"ECXTI6M"
17,"30/01/2016","2016-01-30","9:45:00","2016-02-02 19:08:00","2016-02-02 19:14:06",3,7,1,7,7,4,6,4,NA,10,1,1,24.1,117,"W",3,"1W9E30E"
18,"30/01/2016","2016-01-30","9:45:00","2016-02-02 22:31:43","2016-02-02 22:36:53",2,7,3,7,7,2,5,4,NA,12,2,3,27.21,71,"W",9,"IA1X4QH"
19,"2/6/16","2016-02-06","9:45:00","2016-02-06 09:59:05","2016-02-06 10:01:34",2,5,1,5,7,4,4,5,5,9,2,2,25.83,32,"M",8,"L5HBYDL"
20,"2/6/16","2016-02-06","9:45:00","2016-02-06 09:50:37","2016-02-06 10:02:29",3,5,2,4,7,3,7,7,3,8,3,2,19.75,181,"M",6,"0L6L7OT"
21,"2/6/16","2016-02-06","9:45:00","2016-02-06 10:09:22","2016-02-06 10:12:55",2,7,1,7,7,4,5,5,2,11,2,2,27.5,71,"W",9,"IA1X4QH"
22,"2/6/16","2016-02-06","9:45:00","2016-02-06 10:12:48","2016-02-06 10:16:01",3,7,4,7,7,4,4,6,6,13,2,4,33.11,135,"W",6,"YCJW583"
23,"2/6/16","2016-02-06","9:45:00","2016-02-06 10:44:37","2016-02-06 10:47:33",3,7,1,6,6,4,4,5,2,8,2,2,28.45,147,"W",9,"9G5J3BV"
24,"2/6/16","2016-02-06","9:45:00","2016-02-06 10:59:44","2016-02-06 11:04:39",2,6,2,5,5,4,7,5,2,12,2,2,22.53,118,"M",6,"87J50HU"
25,"2/6/16","2016-02-06","9:45:00","2016-02-06 11:20:20","2016-02-06 11:23:07",3,7,1,7,7,4,7,3,NA,8,2,2,33.3,140,"W",11,"V4Y6VCO"
26,"2/6/16","2016-02-06","9:45:00","2016-02-06 10:16:49","2016-02-06 12:14:01",3,5,3,5,5,1,7,5,3,8,2,2,29.01,88,"M",7,"OV91IBF"
27,"2/6/16","2016-02-06","9:45:00","2016-02-06 12:22:15","2016-02-06 12:28:58",2,5,1,5,5,4,4,5,2,9,2,3,19.6,231,"M",6,"75FJWI3"
28,"2/6/16","2016-02-06","9:45:00","2016-02-06 12:57:08","2016-02-06 13:01:04",3,7,1,5,6,4,6,5,4,9,2,1,38.01,33,"W",10,"HJHYBWK"
29,"2/6/16","2016-02-06","9:45:00","2016-02-06 13:00:08","2016-02-06 13:02:17",3,7,2,7,6,1,7,1,NA,2,2,4,43.78,103,"W",7,"06249ZB"
30,"2/6/16","2016-02-06","9:45:00","2016-02-06 14:09:16","2016-02-06 14:14:05",3,4,1,3,7,4,5,7,6,12,1,1,27.31,62,"M",9,"8JA1MZE"
31,"2/6/16","2016-02-06","9:45:00","2016-02-06 15:23:20","2016-02-06 15:26:02",3,7,1,7,7,4,5,4,NA,10,2,4,27.56,85,"W",9,"QMXQO5M"
32,"2/6/16","2016-02-06","9:45:00","2016-02-06 16:28:35","2016-02-06 16:34:43",2,7,3,6,5,4,5,5,3,9,2,3,20.36,30,"M",5,"1GOC6JU"
33,"2/6/16","2016-02-06","9:45:00","2016-02-06 16:34:06","2016-02-06 16:37:12",1,5,1,4,6,4,4,5,4,7,1,1,25.38,111,"M",10,"CCY9CBO"
34,"2/6/16","2016-02-06","9:45:00","2016-02-06 17:10:19","2016-02-06 17:15:30",3,7,4,7,7,4,7,4,NA,9,2,2,34.38,56,"W",13,"VJB2GAS"
35,"2/6/16","2016-02-06","9:45:00","2016-02-06 17:26:20","2016-02-06 17:31:49",2,7,3,7,7,2,7,6,4,10,2,3,33.55,35,"W",8,"GGC9JED"
36,"2/6/16","2016-02-06","9:45:00","2016-02-06 23:06:48","2016-02-06 23:09:32",3,5,1,7,6,4,6,4,NA,9,2,4,29.15,123,"M",9,"1F6QBEL"
37,"2/6/16","2016-02-06","9:45:00","2016-02-07 08:41:07","2016-02-07 08:44:34",3,5,1,6,6,4,5,3,NA,7,3,3,35.38,136,"W",9,"572PXPF"
38,"2/6/16","2016-02-06","9:45:00","2016-02-07 10:05:09","2016-02-07 10:08:13",3,4,1,6,5,2,6,3,NA,7,2,3,23.03,112,"M",5,"3LKSEZ9"
39,"2/6/16","2016-02-06","9:45:00","2016-02-07 15:14:00","2016-02-07 15:17:44",3,7,1,7,7,4,6,6,3,9,1,1,22.5,117,"W",3,"1W9E30E"
40,"2/6/16","2016-02-06","9:45:00","2016-02-07 17:13:03","2016-02-07 17:15:19",3,6,2,6,5,4,5,6,6,12,2,2,20.75,38,"M",8,"4GAMTFR"
41,"2/6/16","2016-02-06","9:45:00","2016-02-07 17:14:17","2016-02-07 17:17:12",3,5,1,4,5,4,4,6,5,10,2,4,26.41,190,"W",9,"EOC1W8E"
42,"2/6/16","2016-02-06","9:45:00","2016-02-07 18:17:43","2016-02-07 18:19:21",2,5,1,5,4,4,5,4,NA,7,3,2,29.83,94,"M",10,"P30MM7M"
43,"2/6/16","2016-02-06","9:45:00","2016-02-07 18:35:01","2016-02-07 18:45:28",2,6,1,5,5,4,5,5,3,11,2,2,28.58,35,"W",6,"MU484MT"
44,"13/02/2016","2016-02-13","9:45:00","2016-02-13 09:47:58","2016-02-13 09:49:17",2,5,1,5,5,4,5,3,NA,8,2,2,25.9,32,"M",8,"L5HBYDL"
45,"13/02/2016","2016-02-13","9:45:00","2016-02-13 09:48:11","2016-02-13 09:56:30",3,5,4,6,4,3,6,6,3,10,2,4,18.5,181,"M",6,"0L6L7OT"
46,"13/02/2016","2016-02-13","9:45:00","2016-02-13 10:18:36","2016-02-13 10:21:24",3,7,1,7,6,4,5,6,4,11,2,4,27.68,135,"W",6,"YCJW583"
47,"13/02/2016","2016-02-13","9:45:00","2016-02-13 10:49:13","2016-02-13 10:52:10",3,7,3,7,7,1,7,5,4,8,2,3,32.9,35,"W",8,"GGC9JED"
